Datetime,LMP,HenryHub
2015-03-17,32.92125958333334,2.82
2015-03-18,30.969563749999995,2.8
2015-03-19,29.81535083333333,2.86
2015-03-20,33.34498875,2.86
2015-03-21,26.81425416666666,2.86
2015-03-22,28.478652916666665,2.86
2015-03-23,28.28285666666667,2.72
2015-03-24,31.231825416666666,2.79
2015-03-25,29.87368708333333,2.77
2015-03-26,38.111123333333346,2.77
2015-03-27,31.896233749999997,2.89
2015-03-28,25.36292166666666,2.89
2015-03-29,26.317627500000004,2.89
2015-03-30,29.724207499999995,2.64
2015-03-31,23.70972458333333,2.65
2015-04-01,28.299775,2.62
2015-04-02,28.822244166666664,2.63
2015-04-03,29.126169583333336,2.63
2015-04-04,26.54575041666666,2.63
2015-04-05,22.66985166666667,2.63
2015-04-06,28.11414208333333,2.63
2015-04-07,27.8124825,2.71
2015-04-08,25.569596666666666,2.71
2015-04-09,30.755105,2.72
2015-04-10,30.104260416666666,2.58
2015-04-11,22.468781250000006,2.58
2015-04-12,25.04622125,2.58
2015-04-13,29.61529958333333,2.58
2015-04-14,25.96288458333333,2.58
2015-04-15,32.37300666666666,2.62
2015-04-16,35.026869166666664,2.61
2015-04-17,30.809178333333332,2.67
2015-04-18,27.82355208333333,2.67
2015-04-19,25.92124458333333,2.67
2015-04-20,31.722366666666673,2.57
2015-04-21,30.95070333333333,2.59
2015-04-22,32.36509625,2.63
2015-04-23,31.46802708333333,2.59
2015-04-24,30.057949999999995,2.59
2015-04-25,23.67652083333334,2.59
2015-04-26,25.63735458333333,2.59
2015-04-27,36.02430583333332,2.5
2015-04-28,33.917880000000004,2.55
2015-04-29,35.68006999999999,2.55
2015-04-30,38.01045708333333,2.56
2015-05-01,35.88930125000001,2.68
2015-05-02,32.091946666666665,2.68
2015-05-03,29.7817425,2.68
2015-05-04,31.0756175,2.72
2015-05-05,29.705492083333336,2.76
2015-05-06,31.84345208333333,2.76
2015-05-07,33.83632458333333,2.74
2015-05-08,36.88934958333333,2.78
2015-05-09,24.8729325,2.78
2015-05-10,27.39715166666667,2.78
2015-05-11,33.72402833333334,2.85
2015-05-12,31.17853416666668,2.85
2015-05-13,31.492612916666676,2.85
2015-05-14,36.00470208333333,2.87
2015-05-15,31.558155000000006,2.96
2015-05-16,19.032457916666665,2.96
2015-05-17,23.57015083333333,2.96
2015-05-18,32.32677208333333,3.01
2015-05-19,30.83131999999999,3.01
2015-05-20,31.58386208333333,3.04
2015-05-21,35.34025541666666,2.96
2015-05-22,22.89274708333333,2.96
2015-05-23,17.15028,2.96
2015-05-24,16.578799583333332,2.96
2015-05-25,22.85889208333333,2.96
2015-05-26,30.1344375,2.82
2015-05-27,30.20065375,2.82
2015-05-28,31.438620416666666,2.78
2015-05-29,31.60680833333333,2.78
2015-05-30,28.62708208333333,2.78
2015-05-31,28.1864425,2.78
2015-06-01,40.59505541666665,2.78
2015-06-02,44.21637000000001,2.63
2015-06-03,43.672215,2.65
2015-06-04,35.96282541666667,2.6
2015-06-05,29.821439166666664,2.6
2015-06-06,33.98832375,2.6
2015-06-07,28.58318583333333,2.6
2015-06-08,28.14186375,2.6
2015-06-09,32.97940416666666,2.72
2015-06-10,28.062089583333336,2.81
2015-06-11,25.58420291666667,2.88
2015-06-12,24.2586975,2.88
2015-06-13,26.33285041666667,2.88
2015-06-14,26.01972958333333,2.88
2015-06-15,26.82574375,2.89
2015-06-16,34.211782500000005,2.94
2015-06-17,30.41396041666667,2.93
2015-06-18,32.138378749999994,2.93
2015-06-19,36.031563333333345,2.81
2015-06-20,52.58338000000001,2.81
2015-06-21,46.29532749999999,2.81
2015-06-22,39.04345625,2.79
2015-06-23,34.89764833333333,2.83
2015-06-24,38.117790833333345,2.83
2015-06-25,43.27288666666666,2.8
2015-06-26,40.04103916666667,2.77
2015-06-27,43.58974291666666,2.77
2015-06-28,42.07521499999999,2.77
2015-06-29,43.01046958333333,2.77
2015-06-30,39.33554916666665,2.8
2015-07-01,56.78350708333334,2.78
2015-07-02,43.62609958333334,2.79
2015-07-03,38.15188833333333,2.79
2015-07-04,35.710076666666666,2.79
2015-07-05,35.49241749999999,2.79
2015-07-06,38.14335375,2.79
2015-07-07,35.46183458333333,2.77
2015-07-08,34.294167916666666,2.77
2015-07-09,32.835831250000005,2.7
2015-07-10,33.11777708333334,2.7
2015-07-11,33.89302625,2.7
2015-07-12,32.86426375,2.7
2015-07-13,34.757646666666666,2.88
2015-07-14,35.34644833333333,2.88
2015-07-15,37.21756500000001,2.93
2015-07-16,37.12301874999999,2.9
2015-07-17,38.34367625000001,2.88
2015-07-18,37.46071041666667,2.88
2015-07-19,38.075426666666665,2.88
2015-07-20,38.96873291666667,2.88
2015-07-21,37.21934416666667,2.84
2015-07-22,34.30263999999999,2.84
2015-07-23,33.78363541666666,2.92
2015-07-24,34.86595083333333,2.92
2015-07-25,34.55394916666666,2.92
2015-07-26,34.17343833333333,2.92
2015-07-27,35.02066958333333,2.92
2015-07-28,37.839655416666666,2.89
2015-07-29,41.82910541666666,2.91
2015-07-30,41.687602083333346,2.87
2015-07-31,42.782791666666654,2.76
2015-08-01,37.08533416666667,2.76
2015-08-02,35.56150791666667,2.76
2015-08-03,37.34473583333333,2.76
2015-08-04,37.839236666666665,2.83
2015-08-05,39.87073375000001,2.85
2015-08-06,40.281975,2.76
2015-08-07,36.263107500000004,2.76
2015-08-08,33.625135833333324,2.76
2015-08-09,33.72251666666667,2.76
2015-08-10,34.9869,2.85
2015-08-11,37.328349166666655,2.84
2015-08-12,37.78326375,2.93
2015-08-13,38.86666708333335,2.93
2015-08-14,41.41332916666667,2.83
2015-08-15,39.47834708333333,2.83
2015-08-16,40.358337916666656,2.83
2015-08-17,41.1319075,2.79
2015-08-18,38.800572083333336,2.71
2015-08-19,37.158645833333345,2.77
2015-08-20,34.22346833333334,2.77
2015-08-21,32.71873708333333,2.7
2015-08-22,34.85258208333334,2.7
2015-08-23,34.50498125000001,2.7
2015-08-24,39.8076225,2.65
2015-08-25,38.17743291666667,2.71
2015-08-26,41.29412541666667,2.73
2015-08-27,40.0506175,2.69
2015-08-28,42.667116666666665,2.69
2015-08-29,35.57148874999999,2.69
2015-08-30,33.60877416666667,2.69
2015-08-31,35.99190875,2.7
2015-09-01,34.504486666666665,2.7
2015-09-02,36.34966041666667,2.7
2015-09-03,37.824330416666655,2.67
2015-09-04,39.05278125,2.67
2015-09-05,30.52522833333333,2.67
2015-09-06,32.651182500000004,2.67
2015-09-07,33.867187916666666,2.67
2015-09-08,45.79397125000001,2.74
2015-09-09,46.70073041666666,2.74
2015-09-10,49.86500916666666,2.71
2015-09-11,45.84073291666667,2.67
2015-09-12,38.282679166666654,2.67
2015-09-13,35.70711833333333,2.67
2015-09-14,37.497995,2.7
2015-09-15,36.423855,2.74
2015-09-16,32.73946041666667,2.69
2015-09-17,33.242624583333324,2.69
2015-09-18,34.29506916666667,2.69
2015-09-19,36.98222416666668,2.69
2015-09-20,35.8952875,2.69
2015-09-21,38.11519458333333,2.61
2015-09-22,35.12474708333334,2.61
2015-09-23,34.57684749999999,2.62
2015-09-24,36.6570375,2.62
2015-09-25,39.256069583333336,2.6
2015-09-26,36.749804583333336,2.6
2015-09-27,35.89956166666667,2.6
2015-09-28,36.216708333333344,2.66
2015-09-29,35.443910833333334,2.57
2015-09-30,34.60588791666667,2.47
2015-10-01,33.44332083333334,2.37
2015-10-02,32.18735041666667,2.37
2015-10-03,31.356397499999996,2.37
2015-10-04,29.81798958333333,2.37
2015-10-05,33.5485125,2.34
2015-10-06,33.33016041666666,2.35
2015-10-07,35.61747666666667,2.35
2015-10-08,36.81937708333333,2.35
2015-10-09,44.16125791666666,2.49
2015-10-10,39.25535541666667,2.49
2015-10-11,38.35920791666667,2.49
2015-10-12,49.4774375,2.48
2015-10-13,48.01210375,2.47
2015-10-14,41.750515,2.47
2015-10-15,38.62616041666667,2.54
2015-10-16,36.38842166666666,2.42
2015-10-17,32.771584583333336,2.42
2015-10-18,31.47418458333333,2.42
2015-10-19,32.18814750000001,2.43
2015-10-20,37.854729166666665,2.46
2015-10-21,33.24639583333333,2.37
2015-10-22,31.92763625000001,2.37
2015-10-23,33.203610416666656,2.28
2015-10-24,32.1005875,2.28
2015-10-25,31.20687208333333,2.28
2015-10-26,32.939270416666666,2.18
2015-10-27,38.43213583333335,2.14
2015-10-28,31.2902,2.14
2015-10-29,28.53117,2.15
2015-10-30,31.262165000000003,1.98
2015-10-31,28.46083791666668,1.98
2015-11-01,29.09085833333334,1.98
2015-11-02,29.38609708333334,1.92
2015-11-03,29.771410833333334,1.92
2015-11-04,28.74965125,2.04
2015-11-05,31.38548375000001,2.04
2015-11-06,33.95876125,2.19
2015-11-07,33.58129291666666,2.19
2015-11-08,32.85181625000001,2.19
2015-11-09,30.618274166666666,2.19
2015-11-10,30.95884916666667,2.14
2015-11-11,33.10230625,2.13
2015-11-12,32.63397333333334,2.05
2015-11-13,31.380491249999995,2.02
2015-11-14,29.24813208333333,2.02
2015-11-15,25.91820625,2.02
2015-11-16,27.769995833333336,2.02
2015-11-17,30.81086958333334,2.05
2015-11-18,32.86812791666667,2.1
2015-11-19,33.80871375,2.1
2015-11-20,29.82127458333333,2.18
2015-11-21,27.461830000000006,2.18
2015-11-22,28.21629875,2.18
2015-11-23,28.604409583333325,2.18
2015-11-24,28.366023333333345,2.14
2015-11-25,28.29528125,2.14
2015-11-26,26.79243875,2.14
2015-11-27,27.29382416666667,2.14
2015-11-28,28.89070791666667,2.14
2015-11-29,29.179960000000005,2.14
2015-11-30,33.91318708333333,2.11
2015-12-01,31.15725583333333,2.11
2015-12-02,28.89559833333333,2.19
2015-12-03,29.873830416666664,2.14
2015-12-04,29.892550416666666,2.1
2015-12-05,29.484726250000005,2.1
2015-12-06,28.172090000000008,2.1
2015-12-07,30.527394166666664,2.06
2015-12-08,32.6387625,2.01
2015-12-09,35.732772499999996,2.0
2015-12-10,33.46082499999999,1.95
2015-12-11,31.12989125,1.79
2015-12-12,26.81362416666667,1.79
2015-12-13,30.60441083333333,1.79
2015-12-14,29.6029825,1.7
2015-12-15,30.73129416666666,1.66
2015-12-16,33.72798166666666,1.7
2015-12-17,32.19900375,1.79
2015-12-18,29.77361375000001,1.74
2015-12-19,27.12120416666667,1.74
2015-12-20,26.42128916666667,1.74
2015-12-21,28.137323750000004,1.76
2015-12-22,27.234475000000003,1.73
2015-12-23,26.803150416666664,1.63
2015-12-24,25.92914083333333,1.63
2015-12-25,25.29515125,1.63
2015-12-26,28.20402333333334,1.63
2015-12-27,29.676082083333334,1.63
2015-12-28,30.5621325,2.11
2015-12-29,35.511613333333344,2.39
2015-12-30,37.7925075,2.28
2015-12-31,33.53787208333333,2.28
2016-01-01,31.13061708333333,2.28
2016-01-02,30.570375416666664,2.28
2016-01-03,30.06453125,2.28
2016-01-04,32.70855124999999,2.39
2016-01-05,30.90523541666666,2.33
2016-01-06,33.65595166666666,2.37
2016-01-07,32.750105,2.35
2016-01-08,33.86597416666667,2.47
2016-01-09,33.01374000000001,2.47
2016-01-10,31.925888333333337,2.47
2016-01-11,39.76791041666667,2.54
2016-01-12,37.73661166666667,2.4
2016-01-13,34.81272416666666,2.28
2016-01-14,31.85519666666666,2.21
2016-01-15,28.538872499999997,2.18
2016-01-16,29.268903333333334,2.18
2016-01-17,29.90206291666667,2.18
2016-01-18,29.741359166666665,2.18
2016-01-19,33.31440625,2.23
2016-01-20,35.72010874999999,2.18
2016-01-21,34.13609708333333,2.22
2016-01-22,29.08951833333333,2.21
2016-01-23,24.77224458333333,2.21
2016-01-24,23.879884583333336,2.21
2016-01-25,27.602746666666665,2.16
2016-01-26,26.169781250000003,2.26
2016-01-27,28.95333333333333,2.26
2016-01-28,28.53641625,2.15
