Word,PhonDISC,num_sylls_est,num_homophones,neighborhood_size,p_normalized,meanings,num_phones,normalized_surprisal
outgeneral,6t_En@r@l,4,0,0,5.5247216144003e-11,1,9,1.4985461868562622
outlandishly,6tl{ndISlI,4,0,0,3.0160029737390344e-07,1,10,0.9749794315512007
outlandishness,6tl{ndISnIs,4,0,0,2.781812904949876e-07,1,11,0.8895361966740942
outmanoeuvre,6tm@nuv@R,4,0,0,4.0563081746718643e-08,1,9,1.1801216820193732
outrageously,6tr1_@slI,4,0,0,6.482271104071869e-10,1,9,1.3797220989565826
outspokenly,6tsp5k@nlI,4,0,0,2.491585238104188e-10,1,10,1.283275033177349
outspokenness,6tsp5k@nnIs,4,0,0,2.665809090997565e-10,1,11,1.1639451851137692
outstandingly,6tst{ndINlI,4,0,0,8.32829973942357e-10,1,11,1.1189699757883818
overbalance,5v@b{l@ns,4,0,0,1.1971016035776875e-09,1,9,1.3501216742618174
overbearing,5v@b8rIN,4,0,0,3.0292723808710957e-11,1,8,1.718485969461301
overexpose,5v@rIksp5z,4,0,0,2.814260164598944e-07,1,10,0.9779861837561509
overmanning,5v@m{nIN,4,0,0,2.081316253512223e-09,1,8,1.4888610006458014
overmaster,5v@m#st@R,4,0,0,2.611246872728038e-06,1,9,0.9791531275608963
overpower,5v@p6@R,4,0,0,6.322763700269892e-08,1,7,1.4897598756609576
overriding,5v@r2dIN,4,0,0,2.8249442836582783e-08,1,8,1.347277024282928
overshadow,5v@S{d5,4,0,0,2.0496966435358647e-10,1,7,1.8453623558540742
overstatement,5v@st1tm@nt,4,0,0,0.0018130128644137,1,11,0.5428022904756614
oversubscribed,5v@s@bskr2bd,4,0,0,2.4131669153421474e-09,1,12,0.9872198932029858
overweening,5v@winIN,4,0,0,7.272366469788801e-11,1,8,1.6709437906430036
overweighted,5v@w1tId,4,0,0,3.1313391341729546e-08,1,8,1.3416869969068788
overwhelming,5v@wElmIN,4,0,0,1.4008014460489459e-14,1,9,1.8980943888355837
