PhonDISC,wordform_frequency
"2sibiEm\8
2s\944
2s\56
2s1_\0
2s{ks\5
2sb{g\0
2sb3g\52
2sb5t\0
2sb6nd\1
2sbQks\30
2sbr1k@R",8
"2sk5ld\21
2skrim",88
"2skrims5d@\0
2skjub\0
2sf$l\0
2sfild\0
2sfl5\0
2sfri\0
2shQkI",1
2sk{p,4
2sl@nd,44
2sl@nd@R,3
"2slQlI\0
2sm{n\2
2s5v@R",1
2sl{ndIk,11
2spIk,2
2sp{k,1
2srINk,1
2ssk1t,7
2stEdvQd,4
2str1,1
2str1n,12
2tIn@r@rI,39
"2ti1\19
It{lj@n\595
It{lj@n\233
It{lIk\4
It{lIk\1
It{lIs2z\0
It@lI\583
IJ\22
IJ\75
IJf$R\0
IJInIs\0
IJI\9
It@d\89
It@d\1
2t@m\828
2t@m\30
2t@m2z\26
It@r1t\0
It@r1SH",1
"2tiEn\15
Its\27783
Its\18146
Its\1578
ItsElf\5032
ItsIbItsI",5
2tuT,4
2vI,96
2wQS,2
2z,1
2{mb,1
2{mb@s,1
2{mbIk,4
2{mbIks,4
3,6246
3JIn,43
"3T""S1kIN",2
"3T""S1kINlI",1
3TH,13
3THw8R,43
3TInIs,8
"3TVp\0
3Tw3k\16
3Tw3m\22
3TI\38
7trVmpIt",2
3Tkw1k,154
3TlI,121
3TlIN,11
3TnVt,1
3_,962
3_@nsI,161
3_@nt,424
3_@ntlI,174
3b@n2z,21
3g,5
3g5,11
"3g5nQmIk\1
3g5nQmIks",9
3k,22
3ks@m,18
3l,292
3lI,8295
3lIIst,48
"3lIQn\0
3lIw$nIN",5
"3lIkl5zIN\0
3lIkl5zINd1",1
3lInIs,2
3lIw$nINsIst@m,1
3ld@m,4
3n,974
3n@R,97
3nINz,468
"3nINzrIl1tId\13
7f5n\34
7pis\9
7plVg\1
7rIN\59
7SQt\47
3T\2217
3T\9
3T\621
3Tb6nd\11
3TklQzIt",3
3nIst,175
"3nIst""mVnI",1
3nIstlI,91
3nIstnIs,15
4Nk,3
"4l""b3n@R",1
"4l""f2@d",19
"4l""kVl@z",1
"4l""p1ntIN",3
"4l""p1p@R",1
"4l""t{Nk@R",1
4l@R,9
4lI,75
4lInIs,1
"4lQvvItr7l\0
4lp1nt",1
4ld,2
4lfild,8
4lk1k,1
4lklQT,4
4lk{n,4
4lm@n,7
4lp#m,3
4lrIg,2
4lsIlk,1
4lskIn,6
4lskInz,6
4lslIk,1
4lwEl,1
4lz,15
4ntm@nt,63
5,2279
"5""lImpIkg1mz",1
"51pi\9
$R\27
$lQk\0
$zm@n\2
$zm@nSIp\0
$zwUm@n",1
51sIs,54
5IN,1
5INtu,1
"5S@nQgr@fI\1
5sIlQt\0
5k@R\23
5k@R\9
@klQk\974
Qkt@g@n\17
Qkt{g@nP\23
Qkt1n\6
QktIv\35
Qkt1v5\0
QktEt\2
Qkt5b@R\941
Qkt5_In8r7n",3
5SH,527
"5SH""g5IN",1
"5SI{nIk\13
5S@nQgr@f@R",4
5T,116
5b5,28
5b5Ist,3
5bI,4
5bl1SH,2
5d,23
5d@lIsk,6
"5d@rIf@r@s\4
5d@r@s\6
5d@R\179
5d@lIs\8
QdIsI\40
idIp@s\55
idIp@skQmplEks",1
"5d@vi\1
ivz\23
ivzdrQp\29
ivzdrQp@R\9
Eb\55
Eb\37
Ebt2d",1
5dj@m,6
5dj@s,37
5dj@slI,2
5f,16
"5f1\0
5f~",1
5fIS,7
5fISlI,1
5fISnIs,2
5k,305
"5k""{pP",2
"5k1\0
5k1",733
"5k1\530
5k#pI\4
5k1",71
"5k1\566
5kr@\1
5ld\15279
5ld\270
5ld\0
5ld\0
5ld1_",1
5k@m,2
5k@n,12
5lImp7,13
5lImp7n,31
5lImp@s,57
5lImpIk,122
5lImpIks,33
5lImpI{d,6
"5lI{nd@R\9
5lI5gr#f\2
5lEvP",10
"5ld""kVntrI",1
"5ld1_pEnSH\0
5ld1_pEnS@n@R",1
5ld@n,15
5ldIS,19
"5ldIw3ldI\0
5ldf{SHd",353
5ldb4,1
5ldb4nEtw3k,1
"5ldf{SHd\0
5ldf5gI",1
"5ldg#d\0
5ldh{nd",1
5ldg3l,1
"5ldh{rI\0
5ldh{t",1
"5ldl1dI\0
5ldm1d",1
"5ldm#st@R\0
5ldnIk",1
"5ldm1dIS\3
5ldm{n",1
5ldskul,1
"5ldskult2\0
5ldst1_@R",1
5ldst@R,7
"5ldtEst@m@nt\0
5ldt2m\31
5ldt2m@R",18
"5ldw2vzt1l\0
5ldwUm@n",1
"5ldw3ld\0
5lI{_In@s",2
"5ldwUm@nIS\0
5ldw3ld",15
5m#n,12
5m#nI,3
5mEn,75
5mIg@,243
5n,17342
5n@R,1092
5n@SIp,683
"5n@drIvH\0
5n@dr2v@R",3
5n@lIs,2
"5n@rQkjUp2d\41
5n@rQkjUp2@R",68
5n@s,17
"5nVp\0
Qks\115
QksbrI_\38
Qksk#t\2
Qks2\2
Qks2d\0
Qksf@d\729
Qksf@dgrup\0
Qksf@dmuvm@nt",1
5nlI,31475
5ntu,1
5p1k,58
5p1klI,1
5p1knIs,2
"5p@lEsHs\3
5p@lEsHt",13
5p@n,8567
